,QUANTITYORDERED,PRICEEACH,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
1286,32.0,100.0,222.0,1843,1,2,2005,429,92.0,16,188,188,188,224,188.0,251,188,188,1384
321,27.0,100.0,222.0,1843,4,10,2003,684,173.0,18,29,29,29,58,29.0,58,29,29,1384
706,49.0,100.0,222.0,1843,3,9,2003,221,122.0,19,23,23,23,23,23.0,60,23,23,1384
1431,30.0,70.55,222.0,1843,4,11,2004,684,73.0,16,16,16,16,48,48.0,708,16,16,1282
1824,20.0,79.66,222.0,39,4,10,2003,429,88.0,19,23,23,23,23,23.0,36,23,35,1282
2363,49.0,37.97,222.0,39,2,6,2004,429,43.0,21,188,188,188,224,188.0,251,188,188,1282
830,26.0,100.0,222.0,1843,1,1,2003,429,168.0,19,15,15,15,15,15.0,36,15,24,1384
1183,28.0,100.0,222.0,1843,4,11,2004,684,141.0,19,16,16,16,48,48.0,708,16,16,1384
1640,40.0,45.7,222.0,29,2,5,2005,429,44.0,17,132,132,132,132,151.0,708,147,179,1282
638,33.0,100.0,222.0,39,2,6,2004,684,142.0,21,22,22,22,22,22.0,106,22,40,1384
1176,37.0,100.0,222.0,1843,2,4,2004,684,141.0,19,14,14,14,14,14.0,42,14,14,1384
2781,32.0,57.61,222.0,1843,2,5,2004,209,49.0,15,7,7,7,27,27.0,708,7,31,1282
2451,38.0,100.0,222.0,1843,4,11,2004,229,81.0,21,29,29,29,29,29.0,38,29,29,1384
1159,37.0,100.0,222.0,1843,4,11,2004,684,146.0,19,18,18,18,18,18.0,18,18,18,1384
1759,21.0,71.25,222.0,1843,3,9,2004,209,68.0,15,6,6,6,6,6.0,36,6,61,1282
1344,43.0,53.83,222.0,1843,2,5,2003,429,50.0,20,27,27,27,224,36.0,251,27,27,1282
2498,21.0,100.0,222.0,1843,4,10,2004,209,91.0,21,16,16,16,16,16.0,708,66,27,1282
1524,31.0,88.63,222.0,1843,2,5,2004,209,109.0,14,28,28,28,28,67.0,708,66,59,1282
859,27.0,100.0,222.0,1843,3,9,2003,684,132.0,19,32,32,32,32,32.0,124,32,32,1384
718,36.0,100.0,222.0,1843,4,10,2004,221,122.0,19,20,35,20,27,27.0,708,50,20,1384
1519,40.0,87.54,222.0,1843,3,8,2003,209,109.0,14,17,17,17,17,17.0,708,71,79,1384
946,21.0,73.98,222.0,39,2,5,2004,156,86.0,12,31,31,31,103,103.0,708,55,31,1282
401,27.0,100.0,222.0,1843,4,11,2003,684,115.0,14,19,19,19,19,19.0,708,71,179,1384
1364,30.0,100.0,222.0,1843,4,12,2004,429,50.0,20,188,188,188,224,188.0,251,188,188,1384
85,20.0,100.0,222.0,1843,4,10,2003,229,193.0,20,26,26,26,26,67.0,708,26,40,1384
2275,24.0,49.71,222.0,1843,2,5,2005,48,62.0,18,19,19,19,19,151.0,708,37,79,1282
1173,35.0,100.0,222.0,1843,4,12,2003,684,141.0,19,33,33,33,103,103.0,708,71,33,1384
975,38.0,100.0,222.0,1843,3,7,2004,429,104.0,17,27,27,27,27,27.0,124,27,27,1384
2271,22.0,100.0,222.0,1843,4,12,2004,48,62.0,18,31,31,31,31,31.0,220,31,31,1384
1947,23.0,80.51,222.0,1843,3,8,2003,429,83.0,19,32,32,32,48,48.0,708,32,32,1282
2324,22.0,67.41,222.0,1843,1,3,2005,429,68.0,17,31,31,31,31,31.0,220,31,31,1282
2758,47.0,86.62,222.0,1843,3,9,2004,209,74.0,16,6,6,6,6,6.0,36,6,61,1384
554,21.0,100.0,222.0,1843,2,6,2003,209,157.0,15,14,14,14,16,14.0,708,14,14,1282
1777,42.0,100.0,222.0,1843,4,12,2003,684,117.0,16,33,33,33,103,103.0,708,71,33,1384
1971,43.0,100.0,222.0,1843,2,5,2003,684,140.0,23,17,17,17,17,17.0,220,17,17,1384
1654,47.0,100.0,222.0,1843,2,6,2004,221,127.0,17,29,29,29,58,29.0,58,29,29,1384
2099,29.0,85.49,222.0,1843,2,4,2003,209,72.0,19,41,41,41,41,41.0,124,41,41,1282
976,29.0,100.0,222.0,1843,3,8,2004,429,104.0,17,10,10,10,10,10.0,69,10,10,1384
1444,27.0,68.78,222.0,1843,4,11,2003,684,57.0,24,30,30,30,30,30.0,69,30,30,1282
2462,43.0,75.34,222.0,39,4,10,2003,156,66.0,20,23,23,23,23,23.0,36,23,35,1384
2624,31.0,88.0,222.0,1843,1,2,2004,684,101.0,21,29,29,29,58,29.0,58,29,29,1282
2153,46.0,100.0,222.0,1843,4,11,2003,221,96.0,21,12,12,12,12,12.0,251,12,12,1384
2355,34.0,36.66,222.0,1843,3,8,2003,429,43.0,21,32,32,32,48,48.0,708,32,32,1282
888,37.0,89.15,222.0,1843,4,11,2003,429,101.0,21,15,15,15,33,33.0,708,15,15,1384
345,21.0,63.84,222.0,1843,3,9,2003,684,79.0,20,15,35,15,31,31.0,708,147,15,1282
1790,59.0,98.65,222.0,31,2,4,2005,684,117.0,16,28,28,28,28,67.0,708,66,59,1384
2373,49.0,65.8,222.0,1843,1,2,2005,429,43.0,21,40,40,40,46,46.0,220,40,40,1384
1012,41.0,100.0,222.0,31,2,5,2005,429,136.0,19,14,14,14,26,26.0,708,14,40,1384
1313,45.0,100.0,222.0,1843,1,3,2005,429,87.0,18,132,132,132,132,151.0,708,147,179,1384
1737,36.0,37.13,222.0,1843,4,12,2004,684,35.0,22,33,33,33,103,103.0,708,71,33,1282
2309,20.0,66.04,222.0,1843,1,2,2004,429,68.0,17,41,41,41,41,41.0,124,41,41,1282
710,35.0,100.0,222.0,1843,4,11,2003,221,122.0,19,16,16,16,16,16.0,708,66,27,1384
2381,44.0,100.0,222.0,1843,3,8,2003,221,115.0,19,16,16,16,16,16.0,60,16,16,1384
1257,23.0,100.0,222.0,1843,4,10,2004,684,143.0,21,39,39,39,39,39.0,106,39,39,1384
5,36.0,96.66,222.0,1843,4,10,2003,229,95.0,20,26,26,26,26,67.0,708,26,40,1384
1494,26.0,49.81,222.0,1843,3,7,2003,684,50.0,18,31,31,31,31,31.0,220,31,31,1282
2023,18.0,75.06,222.0,1843,2,5,2005,209,68.0,19,30,30,30,30,30.0,69,30,30,1282
522,22.0,72.41,222.0,1843,4,12,2004,429,53.0,19,14,14,14,47,14.0,220,14,27,1282
1416,22.0,77.9,222.0,1843,2,5,2003,684,73.0,16,18,18,18,18,18.0,708,37,59,1282
164,48.0,100.0,222.0,1843,3,9,2003,684,194.0,15,15,35,15,31,31.0,708,147,15,157
677,25.0,88.0,222.0,1843,1,2,2005,684,163.0,14,132,132,132,132,151.0,708,147,179,1282
9,41.0,100.0,222.0,1843,1,1,2004,229,95.0,20,18,18,18,47,18.0,220,18,18,1384
2821,34.0,62.24,222.0,1843,1,3,2005,156,54.0,16,12,12,12,12,12.0,220,12,12,1282
1138,36.0,100.0,222.0,1843,1,3,2005,429,99.0,18,9,9,9,9,9.0,38,9,24,1384
1355,21.0,59.87,222.0,1843,2,6,2004,429,50.0,20,28,28,28,28,28.0,42,28,28,1282
1425,22.0,76.43,222.0,1843,2,4,2004,684,73.0,16,10,10,10,10,10.0,220,10,10,1282
2243,33.0,46.53,222.0,1843,4,12,2004,221,54.0,23,33,33,33,103,103.0,708,71,33,1282
1991,32.0,100.0,222.0,1843,4,12,2004,684,140.0,23,188,188,188,224,188.0,251,188,188,1384
166,30.0,100.0,222.0,1843,4,11,2003,684,194.0,15,32,32,32,32,32.0,124,32,32,1384
1711,25.0,100.0,222.0,1843,4,11,2004,684,90.0,15,18,18,18,18,18.0,708,37,59,1282
751,6.0,100.0,222.0,1843,2,4,2005,429,127.0,16,29,29,29,58,29.0,58,29,29,1282
251,32.0,100.0,222.0,1843,2,4,2004,229,150.0,16,22,22,22,103,103.0,708,66,61,1384
2207,26.0,40.23,222.0,1843,2,4,2004,229,40.0,13,22,22,22,103,103.0,708,66,61,1282
2754,38.0,62.19,222.0,1843,2,5,2004,209,74.0,16,28,28,28,28,67.0,708,66,59,1282
1750,34.0,80.84,222.0,1843,4,11,2003,209,68.0,15,12,12,12,12,12.0,220,12,12,1282
2746,34.0,85.87,222.0,1843,3,8,2003,209,74.0,16,32,32,32,48,48.0,708,32,32,1282
592,43.0,100.0,222.0,1843,4,10,2003,429,170.0,15,22,22,22,22,22.0,106,22,40,157
2771,28.0,48.17,222.0,1843,2,4,2003,209,49.0,15,29,29,29,29,29.0,38,29,29,1282
1056,34.0,100.0,222.0,1843,1,1,2005,684,169.0,33,6,6,6,6,6.0,22,6,6,1384
699,27.0,49.3,222.0,1843,1,2,2005,429,60.0,15,188,188,188,224,188.0,251,188,188,1282
1246,28.0,100.0,222.0,1843,4,10,2003,684,143.0,21,29,29,29,58,29.0,58,29,29,1384
1288,66.0,92.95,222.0,29,2,5,2005,429,92.0,16,27,27,27,27,27.0,124,27,27,1384
555,32.0,100.0,222.0,1843,3,8,2003,209,157.0,15,32,32,32,48,48.0,708,32,32,1384
995,28.0,100.0,222.0,1843,4,11,2003,429,136.0,19,32,32,32,48,48.0,708,32,32,1384
2289,20.0,61.41,222.0,1843,2,6,2004,221,64.0,17,28,28,28,28,28.0,42,28,28,1282
469,43.0,97.6,222.0,1843,4,12,2004,684,141.0,19,14,14,14,47,14.0,220,14,27,1384
410,23.0,100.0,222.0,1843,4,10,2003,684,115.0,14,15,15,15,15,15.0,36,15,24,1282
1922,43.0,100.0,222.0,1843,2,5,2003,684,107.0,17,18,18,18,18,18.0,708,37,59,1384
794,27.0,82.79,222.0,1843,4,10,2004,209,84.0,15,16,16,16,16,16.0,708,66,27,1282
547,36.0,100.0,222.0,1843,4,11,2004,684,124.0,15,31,31,31,31,31.0,220,31,31,1384
2382,26.0,100.0,222.0,1843,3,9,2003,221,115.0,19,23,23,23,23,23.0,60,23,23,1384
2448,28.0,88.68,222.0,1843,4,10,2004,229,81.0,21,21,21,21,21,21.0,60,21,21,1282
544,29.0,100.0,222.0,1843,4,10,2004,684,124.0,15,188,188,188,224,188.0,251,188,188,1282
1996,70.0,100.0,222.0,1843,2,5,2005,684,140.0,23,29,29,29,29,29.0,38,29,29,157
405,21.0,93.28,222.0,1843,2,4,2004,684,115.0,14,23,23,23,23,23.0,60,23,23,1282
2629,27.0,85.98,222.0,1843,3,8,2004,684,101.0,21,24,24,24,24,24.0,708,55,31,1282
1104,38.0,69.96,222.0,1843,3,8,2004,684,80.0,15,11,11,11,31,31.0,708,11,11,1282
42,37.0,100.0,222.0,1843,3,9,2004,684,214.0,16,23,23,23,23,23.0,36,23,35,157
615,44.0,82.39,222.0,1843,3,8,2004,684,77.0,19,20,20,20,20,20.0,20,20,61,1384
320,49.0,100.0,222.0,1843,3,9,2003,684,173.0,18,188,188,188,224,188.0,251,188,188,157
20,41.0,100.0,222.0,1843,4,11,2004,229,95.0,20,29,29,29,29,29.0,38,29,29,157
2586,85.0,88.75,222.0,31,2,4,2005,209,99.0,19,16,16,16,16,27.0,708,61,16,157
2492,25.0,100.0,222.0,1843,2,4,2004,209,91.0,21,18,18,18,18,18.0,50,18,40,1282
931,28.0,44.21,222.0,1843,1,1,2005,429,62.0,20,15,35,15,31,31.0,708,147,15,1282
1706,35.0,80.87,222.0,1843,3,9,2004,684,90.0,15,29,29,29,58,29.0,58,29,29,1282
886,31.0,100.0,222.0,1843,4,10,2003,429,101.0,21,12,12,12,103,103.0,708,50,35,1384
1099,35.0,78.0,222.0,1843,1,1,2004,684,80.0,15,18,18,18,47,18.0,220,18,18,1282
1072,49.0,80.67,222.0,1843,4,11,2003,48,100.0,15,32,32,32,48,48.0,708,32,32,1384
1401,25.0,83.39,222.0,1843,1,1,2004,684,71.0,13,8,8,8,25,8.0,106,8,8,1282
1351,21.0,53.33,222.0,1843,4,12,2003,429,50.0,20,15,15,15,15,15.0,50,15,15,1282
2627,45.0,80.92,222.0,1843,2,6,2004,684,101.0,21,28,28,28,28,28.0,42,28,28,1384
2567,22.0,87.75,222.0,1843,4,11,2003,209,99.0,19,12,12,12,12,12.0,220,12,12,1282
286,47.0,100.0,222.0,1843,4,11,2004,684,151.0,21,27,27,27,224,36.0,251,27,27,1384
414,55.0,75.2,222.0,1843,4,11,2004,684,115.0,14,29,29,29,29,29.0,38,29,29,1384
2717,22.0,100.0,222.0,1843,1,2,2003,156,99.0,20,25,25,25,25,25.0,46,25,25,1282
2720,38.0,85.41,222.0,1843,3,8,2003,156,99.0,20,132,132,132,132,151.0,708,147,179,1384
464,37.0,100.0,222.0,1843,4,10,2003,684,141.0,19,19,19,19,19,19.0,60,19,19,1384
1070,50.0,100.0,222.0,1843,4,10,2003,48,100.0,15,29,29,29,58,29.0,58,29,29,1384
584,44.0,100.0,222.0,1843,4,11,2003,429,170.0,15,132,132,132,132,151.0,708,147,179,157
222,43.0,100.0,222.0,1843,1,2,2004,221,136.0,16,13,13,13,13,13.0,220,13,27,1384
1968,42.0,72.96,222.0,1843,2,4,2005,429,83.0,19,28,28,28,28,67.0,708,66,59,1384
13,34.0,100.0,222.0,1843,2,6,2004,229,95.0,20,19,19,19,19,151.0,708,37,79,1384
1498,34.0,53.83,222.0,1843,4,11,2003,684,50.0,18,20,20,20,20,20.0,60,20,20,1282
116,49.0,100.0,222.0,1843,1,2,2004,684,136.0,22,16,16,16,16,16.0,708,27,179,1384
912,30.0,49.97,222.0,1843,3,9,2003,429,62.0,20,29,29,29,58,29.0,58,29,29,1282
2417,43.0,52.14,222.0,1843,1,3,2004,48,58.0,15,15,15,15,15,15.0,36,15,24,1282
2095,40.0,86.92,222.0,1843,1,1,2005,429,97.0,23,15,35,15,31,31.0,708,147,15,1384
654,46.0,100.0,222.0,1843,2,4,2003,684,163.0,14,12,12,12,103,103.0,708,50,35,157
1962,20.0,92.25,222.0,1843,4,11,2004,429,83.0,19,13,13,13,13,13.0,36,13,13,1282
180,41.0,71.47,222.0,1843,4,11,2004,684,194.0,15,31,31,31,103,103.0,708,55,31,1282
595,45.0,100.0,222.0,1843,4,11,2004,429,170.0,15,17,17,17,17,17.0,220,17,17,157
2329,30.0,89.8,222.0,1843,3,7,2003,229,102.0,16,132,132,132,132,151.0,708,147,179,1282
1471,50.0,100.0,222.0,1843,4,10,2003,229,112.0,21,26,26,26,26,67.0,708,26,40,1384
1200,26.0,52.22,222.0,1843,2,4,2004,229,62.0,14,22,22,22,103,103.0,708,66,61,1282
1137,50.0,100.0,222.0,1843,1,2,2005,429,99.0,18,132,132,132,132,151.0,708,147,179,157
1064,28.0,100.0,222.0,29,2,5,2005,684,169.0,33,40,40,40,46,46.0,220,40,40,1384
2504,37.0,81.87,222.0,1843,1,2,2005,209,91.0,21,40,40,40,46,46.0,220,40,40,1384
535,40.0,100.0,222.0,1843,4,12,2003,684,124.0,15,33,33,33,103,103.0,708,71,33,1384
2027,26.0,38.98,222.0,1843,3,9,2003,429,41.0,12,13,13,13,13,67.0,708,18,59,1282
793,25.0,82.79,222.0,1843,3,9,2004,209,84.0,15,12,12,12,12,12.0,12,12,12,1282
1773,25.0,100.0,222.0,1843,4,10,2003,684,117.0,16,21,21,21,21,21.0,46,21,21,1282
2630,28.0,100.0,222.0,1843,3,9,2004,684,101.0,21,23,23,23,23,23.0,36,23,35,1384
2119,45.0,78.25,222.0,1843,1,3,2005,209,72.0,19,31,31,31,31,31.0,220,31,31,1384
2615,42.0,100.0,222.0,1843,2,4,2003,684,101.0,21,15,15,15,47,15.0,220,15,15,1384
1317,50.0,100.0,222.0,1843,2,5,2003,221,121.0,23,27,27,27,224,36.0,251,27,27,157
2424,44.0,100.0,222.0,1843,4,11,2004,48,58.0,15,21,21,21,21,21.0,60,21,21,1384
2734,30.0,100.0,222.0,1843,4,10,2004,156,99.0,20,39,39,39,39,39.0,106,39,39,1384
1136,45.0,73.08,222.0,1843,1,1,2005,429,99.0,18,15,35,15,31,31.0,708,147,15,1384
2248,19.0,48.7,222.0,1843,2,5,2005,221,54.0,23,188,188,188,224,188.0,251,188,188,1282
973,29.0,100.0,222.0,1843,2,4,2004,429,104.0,17,188,188,188,224,188.0,251,188,188,1384
106,50.0,100.0,222.0,1843,1,2,2003,684,136.0,22,25,25,25,25,25.0,46,25,25,157
471,35.0,100.0,222.0,1843,1,2,2005,684,141.0,19,21,21,21,21,21.0,60,21,21,1384
2808,24.0,49.69,222.0,1843,1,3,2004,156,54.0,16,20,20,20,20,20.0,106,20,20,1282
2695,50.0,88.15,222.0,1843,3,9,2003,156,100.0,16,188,188,188,224,188.0,251,188,188,1384
831,31.0,100.0,222.0,1843,1,3,2003,429,168.0,19,39,39,39,39,39.0,106,39,39,1384
1328,41.0,100.0,222.0,1843,2,6,2004,221,121.0,23,29,29,29,58,29.0,58,29,29,1384
821,34.0,52.09,222.0,1843,4,10,2004,229,60.0,19,16,16,16,16,16.0,708,66,27,1282
460,26.0,100.0,222.0,39,2,6,2004,684,141.0,19,22,22,22,22,22.0,106,22,40,1384
691,33.0,72.65,222.0,1843,2,4,2004,429,60.0,15,10,10,10,10,10.0,220,10,10,1282
2082,39.0,90.57,222.0,1843,1,1,2004,429,97.0,23,11,11,11,11,27.0,708,27,27,1384
2497,42.0,100.0,222.0,1843,3,9,2004,209,91.0,21,6,6,6,6,6.0,36,6,61,1384
2041,22.0,97.44,222.0,1843,4,11,2004,429,41.0,12,18,18,18,18,18.0,708,37,59,1282
354,25.0,90.17,222.0,39,2,6,2004,684,79.0,20,22,22,22,22,22.0,106,22,40,1282
2505,46.0,100.0,222.0,1843,1,3,2005,209,91.0,21,16,16,16,48,48.0,708,16,16,157
982,45.0,100.0,222.0,1843,4,11,2004,429,104.0,17,41,41,41,41,41.0,124,41,41,1384
1772,34.0,100.0,222.0,1843,3,9,2003,684,117.0,16,32,32,32,32,32.0,124,32,32,1384
126,26.0,75.47,222.0,1843,4,12,2004,684,136.0,22,188,188,188,224,188.0,251,188,188,1282
2526,23.0,76.22,222.0,1843,4,10,2004,156,86.0,15,21,21,21,21,21.0,46,21,21,1282
702,29.0,100.0,222.0,1843,1,1,2003,221,122.0,19,188,188,188,224,188.0,251,188,188,1384
1820,35.0,87.62,222.0,1843,2,4,2003,429,88.0,19,29,29,29,29,29.0,38,29,29,1384
2088,45.0,100.0,222.0,1843,3,9,2004,429,97.0,23,5,5,5,31,31.0,708,18,20,1384
135,22.0,100.0,222.0,1843,2,5,2003,684,147.0,22,27,27,27,224,36.0,251,27,27,1384
2141,30.0,100.0,222.0,1843,4,11,2004,684,80.0,17,31,31,31,31,31.0,220,31,31,1384
2439,40.0,66.72,222.0,1843,4,11,2003,229,81.0,21,188,188,188,224,188.0,251,188,188,1282
2590,45.0,85.29,222.0,1843,2,6,2003,156,72.0,19,17,17,17,25,17.0,106,61,17,1384
2391,29.0,100.0,222.0,1843,2,6,2004,221,115.0,19,29,29,29,58,29.0,58,29,29,1384
393,33.0,100.0,222.0,29,2,5,2005,221,118.0,20,40,40,40,46,46.0,220,40,40,1384
17,41.0,100.0,222.0,1843,4,10,2004,229,95.0,20,21,21,21,21,21.0,60,21,21,1384
283,46.0,100.0,222.0,1843,4,10,2004,684,151.0,21,21,21,21,21,21.0,46,21,21,1384
310,46.0,83.63,222.0,1843,4,11,2004,684,117.0,17,31,31,31,103,103.0,708,55,31,1384
2813,32.0,60.06,222.0,1843,3,9,2004,156,54.0,16,10,10,10,10,10.0,69,10,10,1282
1210,31.0,53.47,222.0,1843,4,12,2004,229,62.0,14,188,188,188,224,188.0,251,188,188,1282
1674,35.0,72.03,222.0,1843,4,11,2003,229,69.0,17,13,13,13,13,13.0,220,13,13,1282
866,24.0,100.0,222.0,1843,1,2,2004,684,132.0,19,16,16,16,16,16.0,708,27,179,1384
1784,45.0,100.0,222.0,1843,4,10,2003,684,117.0,16,22,22,22,22,22.0,106,22,40,1384
1484,48.0,100.0,222.0,1843,4,11,2004,229,112.0,21,24,24,24,24,24.0,708,55,31,1384
1828,20.0,89.4,222.0,1843,1,1,2004,429,88.0,19,31,31,31,31,31.0,220,31,31,1282
2518,40.0,80.55,222.0,1843,1,1,2004,156,86.0,15,31,31,31,31,31.0,220,31,31,1384
1125,33.0,100.0,222.0,1843,1,3,2004,429,99.0,18,31,31,31,31,31.0,220,31,31,1384
1536,43.0,100.0,222.0,1843,1,3,2005,209,109.0,14,31,31,31,31,31.0,220,31,31,1384
1688,41.0,70.65,222.0,1843,4,12,2004,229,69.0,17,188,188,188,224,188.0,251,188,188,1282
2303,33.0,72.92,222.0,1843,1,2,2003,429,68.0,17,29,29,29,29,29.0,69,29,29,1282
2234,35.0,48.7,222.0,1843,2,5,2004,221,54.0,23,188,188,188,224,188.0,251,188,188,1282
933,37.0,59.96,222.0,1843,1,3,2005,429,62.0,20,9,9,9,9,9.0,38,9,24,1282
2741,36.0,100.0,222.0,1843,1,3,2005,156,99.0,20,12,12,12,12,12.0,220,12,12,1384
2523,43.0,86.61,222.0,1843,3,8,2004,156,86.0,15,132,132,132,132,151.0,708,147,179,1384
785,21.0,70.96,222.0,1843,4,10,2003,209,84.0,15,26,26,26,26,67.0,708,26,40,1282
2353,49.0,50.62,222.0,1843,2,4,2003,429,43.0,21,41,41,41,41,41.0,124,41,41,1282
373,26.0,100.0,222.0,1843,4,11,2003,221,118.0,20,17,17,17,25,17.0,106,61,17,1384
2597,46.0,74.45,222.0,1843,1,1,2004,156,72.0,19,31,31,31,31,31.0,220,31,31,1384
297,28.0,100.0,222.0,1843,4,11,2003,684,117.0,17,20,20,20,20,20.0,60,20,20,1282
1341,38.0,100.0,222.0,29,2,5,2005,221,121.0,23,40,40,40,46,46.0,220,40,40,1384
2651,47.0,100.0,222.0,1843,2,6,2004,209,118.0,20,19,19,19,19,151.0,708,37,79,1384
1815,41.0,100.0,222.0,1843,1,2,2005,684,37.0,21,188,188,188,224,188.0,251,188,188,1384
1227,34.0,100.0,222.0,39,2,6,2004,429,105.0,14,188,188,188,224,188.0,251,188,188,1384
569,27.0,100.0,222.0,1843,4,11,2004,209,157.0,15,20,20,20,20,20.0,106,20,20,1384
